CODICE ARTICOLO   ;DESCRIZIONE ARTICOLO   ;PREZZO          
     0559447   ;LAVAZZA 30 CAPS C&G CLASSIC C/N G171                                    ;10,73                  
     0559445   ;LAVAZZA 30 CAPS DEK CN G174                                             ;10,68                  
     0559446   ;LAVAZZA 30 CAPS QUALITA ROSSA CN G171                                   ;10,68                  
     0021015   ;LAVAZZA CAFFE' ROSSA GR250X2                                            ;10,04                  
     0166698   ;TWININGS TE' 4 FRUTTI ROSSI 25FF                                        ;3,94                   
     0021759   ;TWININGS TE' EARL GREY 25FF                                             ;3,39                   
     0021751   ;TWININGS TE' ENGLISH BREAKFAST 25FF.                                    ;3,39                   
     0166697   ;TWININGS TE' LEMON SCENTED 25FF                                         ;3,39                   
     0417212   ;TWININGS TE' NERO AROM.PESCA 25FF                                       ;3,94                   
     0088531   ;TWININGS TE' NERO VANIGLIA 25FF                                         ;3,94                   
     0546832   ;TWININGS TE PRINCE OF WALES 25FF                                        ;3,39                   
     0134734   ;TWININGS TE' PURE GREEN 25FF                                            ;3,38                   
     0593033   ;TWININGS TE VERDE EARL GREY 20FF                                        ;3,38                   
     0434574   ;MISURA FETTE BISCOTT MULTIGRAIN T320                                    ;1,55                   
     0425343   ;MISURA FETTE FIBRE EXTRA T320                                           ;1,55                   
     0561365   ;MISURA NATURA RICCA FETTE SEGALE GR 320                                 ;1,55                   
     0125856   ;M/BIANCO BISC CAMPAGNOLE T700                                           ;2.99
     0162234   ;M/BIANCO BISC GALLETTI T800                                             ;2.99
     0162195   ;M/BIANCO BISC MACINE T800                                               ;2.99
     0162233   ;M/BIANCO BISC RIGOLI T800                                               ;2.99
     0529727   ;M/BIANCO BISC SCACCHIERI GR 300                                         ;2,49
     0513381   ;M/BIANCO BISC SCHIACCIANOCI 300G                                        ;2,49
     0108582   ;M/BIANCO BISC TARALLUCCI T800                                           ;2.99
     0408444   ;M/BIANCO BISCOTTONE 700G                                                ;2.99
     0165612   ;M/BIANCO G/CEREALE CACAO T230                                           ;1,52                   
     0112841   ;M/BIANCO G/CEREALE CROCC.T230                                           ;1,52                   
     0063511   ;M/BIANCO G/CEREALE FRUTTA 250G                                          ;1,52                   
     0379182   ;M/BIANCO GIROTONDI T800                                                 ;3,38                   
     0456489   ;NUTELLA B-READY 6 PZ 132G                                               ;2,14                   
     0541810   ;TRE MARIE FROLLINO CACAO C/GOCCE G315                                   ;1,82                   
     0541811   ;TRE MARIE FROLLINO CARAM SAL/GOCCE G315                                 ;1,82                   
     0541808   ;TRE MARIE FROLLINO CIOCCOLATO PEZZI G360                                ;1,82                   
     0541809   ;TRE MARIE FROLLINO KRUMIRO C/CIOCC G315                                 ;1,82                   
     0455014   ;M/BIANCO BISC BAIOCCHI 260G                                             ;2,53                   
     0541895   ;M/BIANCO BISC. BAIOCCHI PISTACCHIO G240                                 ;2,89                   
     0085632   ;PAVESI RINGO FAM CACAO T330                                             ;2,68                   
     0024807   ;PAVESI RINGO FAM.VAN T330                                               ;2,68                   
     0460443   ;KINDER BRIOSS LATTE/CACAO 280G                                          ;2,69                   
     0460399   ;KINDER BRIOSS X10 270G                                                  ;2,69                   
     0570101   ;KINDER PLUMCAKE CAROTA G198                                             ;1,75                   
     0511264   ;KINDER PLUMCAKE YOGURT GRECO G192                                       ;1,75                   
     0203187   ;M/BIANCO CORNETTI SFOGLIA T240                                          ;2,49                   
     0056537   ;M/BIANCO CROSTATINA ALB. T400                                           ;2,52                   
     0094724   ;M/BIANCO CROSTATINA CACAO T400                                          ;2,52                   
     0234802   ;M/BIANCO MERENDA PAN DI STELLE 280G                                     ;2,69                   
     0150935   ;LINDOR CORNET ASSORTITO 200G                                            ;7,29                   
     0535952   ;LINDOR CORNET CARAM SALATO G200                                         ;7,31                   
     0222756   ;LINDOR CORNET FONDENTE 60% CACAO G200                                   ;7,31                   
     0112492   ;LINDOR CORNET LATTE G200                                                ;7,29                   
     0588413   ;LINDOR CORNET LIMITED EDIT G200                                         ;7,31                   
     0495532   ;LINDOR CORNET PISTACCHIO G200                                           ;7,29                   
     0428471   ;LINDT FONDENTE MANDORLE T100                                            ;3,20                   
     0510499   ;LINDT TAV CIOCC CUOR DI LATTE G100                                      ;3,20                   
     0379734   ;LINDT TAV.CIOCC. FOND/NOCC.100G                                         ;3,20                   
     0261883   ;LINDT TAV.CIOCCOLATO BIANCO 100G                                        ;2,49                   
     0396197   ;LINDT TAV.EXTRA FONDENTE 72% 100G                                       ;2,49                   
     0026047   ;LINDT TAV.FONDENTE SURFIN 100G                                          ;2,17                   
     0026135   ;LINDT TAV.LATTE 100G                                                    ;2,17                   
     0442669   ;LINDT TAV.LATTE/NOCCIOLE IGP 100G                                       ;3,20                   
     0535950   ;LINDT TAVOLETTA LATTE PISTACCHIO G90                                    ;3,20                   
     0535423   ;S/G FERRERO NUTELLA GR 750                                              ;6,34                   
     0490887   ;S/G RIGONI BIO AGRUMI/ZENZERO 340G                                      ;3,98                   
     0133065   ;S/G RIGONI BIO ALBICOCCA T330                                           ;3,98                   
     0133063   ;S/G RIGONI BIO ARANCE AMARE T340                                        ;3,98                   
     0133064   ;S/G RIGONI BIO FRAGOLE 330G                                             ;3,98                   
